drug,condition,text,rating,date,helpful_votes,source,clean_text,word_count
Jardiance,Type 2 Diabetes,Lost 15 pounds as a bonus while controlling blood sugar,7,2023-01-02,8,synthetic,lost 15 pounds bonus controlling blood sugar,7
Jardiance,Type 2 Diabetes,Frequent urination disrupting my sleep every night,2,2023-08-07,40,synthetic,frequent urination disrupting sleep every night,6
Jardiance,Type 2 Diabetes,"Heart benefits are well documented, feel much safer",8,2022-09-06,31,synthetic,heart benefits well documented feel much safer,7
Jardiance,Type 2 Diabetes,"Dehydration and dizziness, had to reduce dose",1,2023-09-03,14,synthetic,dehydration dizziness reduce dose,4
Jardiance,Type 2 Diabetes,"Energy improved significantly, A1C dropping steadily",9,2023-03-14,15,synthetic,energy improved significantly a1c dropping steadily,6
Jardiance,Type 2 Diabetes,Blood sugar finally under control after years of struggling,7,2022-03-31,45,synthetic,blood sugar finally control years struggling,6
Jardiance,Type 2 Diabetes,Recurrent UTI infections since starting Jardiance,2,2023-05-20,40,synthetic,recurrent uti infections since starting jardiance,6
Jardiance,Type 2 Diabetes,"Yeast infections constantly, very uncomfortable",2,2022-05-04,28,synthetic,yeast infections constantly uncomfortable,4
Jardiance,Type 2 Diabetes,Jardiance lowered my A1C from 9.2 to 6.8 in 3 months,9,2022-06-10,7,synthetic,jardiance lowered a1c 9 2 6 8 3 months,9
Jardiance,Type 2 Diabetes,"Genital itching and burning, embarrassing side effect",1,2023-09-11,29,synthetic,genital itching burning embarrassing side effect,6
